Symbol,Company Name,Sector
AAPL,Apple Inc.,Technology
AMGN,Amgen Inc.,Healthcare
AXP,American Express Company,Financial Services
BA,The Boeing Company,Industrials
CAT,Caterpillar Inc.,Industrials
CSCO,"Cisco Systems, Inc.",Technology
CVX,Chevron Corporation,Energy
DIS,The Walt Disney Company,Communication Services
DOW,Dow Inc.,Basic Materials
GS,"The Goldman Sachs Group, Inc.",Financial Services
HD,"The Home Depot, Inc.",Consumer Cyclical
HON,Honeywell International Inc.,Industrials
IBM,International Business Machines Corporation,Technology
INTC,Intel Corporation,Technology
JNJ,Johnson & Johnson,Healthcare
JPM,JPMorgan Chase & Co.,Financial Services
KO,The Coca-Cola Company,Consumer Defensive
MCD,McDonald's Corporation,Consumer Cyclical
MMM,3M Company,Industrials
MRK,"Merck & Co., Inc.",Healthcare
MSFT,Microsoft Corporation,Technology
NKE,"NIKE, Inc.",Consumer Cyclical
PG,The Procter & Gamble Company,Consumer Defensive
TRV,"The Travelers Companies, Inc.",Financial Services
UNH,UnitedHealth Group Incorporated,Healthcare
V,Visa Inc.,Financial Services
VZ,Verizon Communications Inc.,Communication Services
WBA,"Walgreens Boots Alliance, Inc.",Healthcare
WMT,Walmart Inc.,Consumer Defensive
XOM,Exxon Mobil Corporation,Energy
