Symbol,Company Name,Sector
A,"Agilent Technologies, Inc.",Healthcare
AA,Alcoa Corporation,Basic Materials
AACT,Ares Acquisition Corporation II,Financial Services
AAM,AA Mission Acquisition Corp.,Financial Services
AAMI,Acadian Asset Management Inc.,Financial Services
AAP,"Advance Auto Parts, Inc.",Consumer Cyclical
AAT,"American Assets Trust, Inc.",Real Estate
AAUC,Allied Gold Corporation,Basic Materials
AB,AllianceBernstein Holding L.P.,Financial Services
ABBV,AbbVie Inc.,Healthcare
ABCB,Ameris Bancorp,Financial Services
ABEV,Ambev S.A.,Consumer Defensive
ABG,"Asbury Automotive Group, Inc.",Consumer Cyclical
ABM,ABM Industries Incorporated,Industrials
ABR,"Arbor Realty Trust, Inc.",Real Estate
ABT,Abbott Laboratories,Healthcare
AC,"Associated Capital Group, Inc.",Financial Services
ACA,"Arcosa, Inc.",Industrials
ACCO,ACCO Brands Corporation,Industrials
ACEL,"Accel Entertainment, Inc.",Consumer Cyclical
ACHR,Archer Aviation Inc.,Industrials
ACI,"Albertsons Companies, Inc.",Consumer Defensive
ACM,AECOM,Industrials
ACN,Accenture plc,Technology
ACP,Abrdn Income Credit Strategies Fund,Financial Services
ACR,ACRES Commercial Realty Corp.,Real Estate
ACRE,Ares Commercial Real Estate Corporation,Real Estate
ACV,Virtus Diversified Income & Convertible Fund,Financial Services
ACVA,ACV Auctions Inc.,Consumer Cyclical
ADC,Agree Realty Corporation,Real Estate
ADCT,ADC Therapeutics SA,Healthcare
ADM,Archer-Daniels-Midland Company,Consumer Defensive
ADNT,Adient plc,Consumer Cyclical
ADT,ADT Inc.,Industrials
ADX,"Adams Diversified Equity Fund, Inc.",Financial Services
AEE,Ameren Corporation,Utilities
AEFC,Aegon Funding Company LLC 5.10%,N/A
AEG,Aegon Ltd.,Financial Services
AEM,Agnico Eagle Mines Limited,Basic Materials
AEO,"American Eagle Outfitters, Inc.",Consumer Cyclical
AER,AerCap Holdings N.V.,Industrials
AES,The AES Corporation,Utilities
AESI,Atlas Energy Solutions Inc.,Energy
AFB,"AllianceBernstein National Municipal Income Fund, Inc.",Financial Services
